2009-01-02,NULL
2009-01-05,NULL
2009-01-06,NULL
2009-01-07,NULL
2009-01-08,NULL
2009-01-09,NULL
2009-01-12,NULL
2009-01-13,NULL
2009-01-14,NULL
2009-01-15,NULL
2009-01-16,0.1407
2009-01-20,NULL
2009-01-21,NULL
2009-01-22,NULL
2009-01-23,NULL
2009-01-26,NULL
2009-01-27,NULL
2009-01-28,NULL
2009-01-29,NULL
2009-01-30,NULL
2009-02-02,NULL
2009-02-03,NULL
2009-02-04,NULL
2009-02-05,NULL
2009-02-06,NULL
2009-02-09,NULL
2009-02-10,NULL
2009-02-11,NULL
2009-02-12,NULL
2009-02-13,NULL
2009-02-17,NULL
2009-02-18,NULL
2009-02-19,NULL
2009-02-20,0.36535
2009-02-23,NULL
2009-02-24,NULL
2009-02-25,NULL
2009-02-26,NULL
2009-02-27,NULL
2009-03-02,NULL
2009-03-03,NULL
2009-03-04,NULL
2009-03-05,NULL
2009-03-06,NULL
2009-03-09,NULL
2009-03-10,NULL
2009-03-11,NULL
2009-03-12,NULL
2009-03-13,NULL
2009-03-16,NULL
2009-03-17,NULL
2009-03-18,NULL
2009-03-19,NULL
2009-03-20,0.17697
2009-03-23,NULL
2009-03-24,NULL
2009-03-25,NULL
2009-03-26,NULL
2009-03-27,NULL
2009-03-30,NULL
2009-03-31,NULL
2009-04-01,NULL
2009-04-02,NULL
2009-04-03,NULL
2009-04-06,NULL
2009-04-07,NULL
2009-04-08,NULL
2009-04-09,NULL
2009-04-13,NULL
2009-04-14,NULL
2009-04-15,NULL
2009-04-16,NULL
2009-04-17,0.1339
2009-04-20,NULL
2009-04-21,NULL
2009-04-22,NULL
2009-04-23,NULL
2009-04-24,NULL
2009-04-27,NULL
2009-04-28,NULL
2009-04-29,NULL
2009-04-30,NULL
2009-05-01,NULL
2009-05-04,NULL
2009-05-05,NULL
2009-05-06,NULL
2009-05-07,NULL
2009-05-08,NULL
2009-05-11,NULL
2009-05-12,NULL
2009-05-13,NULL
2009-05-14,NULL
2009-05-15,0.24605
2009-05-18,NULL
2009-05-19,NULL
2009-05-20,NULL
2009-05-21,NULL
2009-05-22,NULL
2009-05-26,NULL
2009-05-27,NULL
2009-05-28,NULL
2009-05-29,NULL
2009-06-01,NULL
2009-06-02,NULL
2009-06-03,NULL
2009-06-04,NULL
2009-06-05,NULL
2009-06-08,NULL
2009-06-09,NULL
2009-06-10,NULL
2009-06-11,NULL
2009-06-12,NULL
2009-06-15,NULL
2009-06-16,NULL
2009-06-17,NULL
2009-06-18,NULL
2009-06-19,0.28259
2009-06-22,NULL
2009-06-23,NULL
2009-06-24,NULL
2009-06-25,NULL
2009-06-26,NULL
2009-06-29,NULL
2009-06-30,NULL
2009-07-01,NULL
2009-07-02,NULL
2009-07-06,NULL
2009-07-07,NULL
2009-07-08,NULL
2009-07-09,NULL
2009-07-10,NULL
2009-07-13,NULL
2009-07-14,NULL
2009-07-15,NULL
2009-07-16,NULL
2009-07-17,0.12616
2009-07-20,NULL
2009-07-21,NULL
2009-07-22,NULL
2009-07-23,NULL
2009-07-24,NULL
2009-07-27,NULL
2009-07-28,NULL
2009-07-29,NULL
2009-07-30,NULL
2009-07-31,NULL
2009-08-03,NULL
2009-08-04,NULL
2009-08-05,NULL
2009-08-06,NULL
2009-08-07,NULL
2009-08-10,NULL
2009-08-11,NULL
2009-08-12,NULL
2009-08-13,NULL
2009-08-14,NULL
2009-08-17,NULL
2009-08-18,NULL
2009-08-19,NULL
2009-08-20,NULL
2009-08-21,0.32866
2009-08-24,NULL
2009-08-25,NULL
2009-08-26,NULL
2009-08-27,NULL
2009-08-28,NULL
2009-08-31,NULL
2009-09-01,NULL
2009-09-02,NULL
2009-09-03,NULL
2009-09-04,NULL
2009-09-08,NULL
2009-09-09,NULL
2009-09-10,NULL
2009-09-11,NULL
2009-09-14,NULL
2009-09-15,NULL
2009-09-16,NULL
2009-09-17,NULL
2009-09-18,0.17525
2009-09-21,NULL
2009-09-22,NULL
2009-09-23,NULL
2009-09-24,NULL
2009-09-25,NULL
2009-09-28,NULL
2009-09-29,NULL
